qid,P569,S248,s528,s813,P570,S248,s528,s813
Q72651,+1930-03-03T00:00:00Z/11,Q51850225,"""11000655""",+2018-04-13T00:00:00Z/11,+2017-09-12T00:00:00Z/11,Q51850225,"""11000655""",+2018-04-13T00:00:00Z/11
Q1731213,+1927-07-06T00:00:00Z/11,Q51850225,"""11000657""",+2018-04-13T00:00:00Z/11,+2017-01-07T00:00:00Z/11,Q51850225,"""11000657""",+2018-04-13T00:00:00Z/11
Q1600264,+1906-02-26T00:00:00Z/11,Q51850225,"""11000658""",+2018-04-13T00:00:00Z/11,+1958-12-29T00:00:00Z/11,Q51850225,"""11000658""",+2018-04-13T00:00:00Z/11
Q1555810,+1925-04-07T00:00:00Z/11,Q51850225,"""11000659""",+2018-04-13T00:00:00Z/11,+2005-01-30T00:00:00Z/11,Q51850225,"""11000659""",+2018-04-13T00:00:00Z/11
Q1731214,+1886-10-08T00:00:00Z/11,Q51850225,"""11000660""",+2018-04-13T00:00:00Z/11,+1974-10-09T00:00:00Z/11,Q51850225,"""11000660""",+2018-04-13T00:00:00Z/11
Q106235,+1927-03-21T00:00:00Z/11,Q51850225,"""11000661""",+2018-04-13T00:00:00Z/11,+2016-03-31T00:00:00Z/11,Q51850225,"""11000661""",+2018-04-13T00:00:00Z/11
Q1569317,+1933-08-09T00:00:00Z/11,Q51850225,"""11000662""",+2018-04-13T00:00:00Z/11,+1985-10-05T00:00:00Z/11,Q51850225,"""11000662""",+2018-04-13T00:00:00Z/11
Q1285489,+1893-02-09T00:00:00Z/11,Q51850225,"""11000663""",+2018-04-13T00:00:00Z/11,+1969-09-12T00:00:00Z/11,Q51850225,"""11000663""",+2018-04-13T00:00:00Z/11
Q1629367,+1919-08-16T00:00:00Z/11,Q51850225,"""11000664""",+2018-04-13T00:00:00Z/11,+1990-12-16T00:00:00Z/11,Q51850225,"""11000664""",+2018-04-13T00:00:00Z/11
Q1377625,+1929-08-18T00:00:00Z/11,Q51850225,"""11000665""",+2018-04-13T00:00:00Z/11,+2009-05-24T00:00:00Z/11,Q51850225,"""11000665""",+2018-04-13T00:00:00Z/11
Q1709407,+1908-10-28T00:00:00Z/11,Q51850225,"""11000666""",+2018-04-13T00:00:00Z/11,+1981-03-21T00:00:00Z/11,Q51850225,"""11000666""",+2018-04-13T00:00:00Z/11
Q1597335,+1892-04-22T00:00:00Z/11,Q51850225,"""11000667""",+2018-04-13T00:00:00Z/11,+1963-08-20T00:00:00Z/11,Q51850225,"""11000667""",+2018-04-13T00:00:00Z/11
Q1874432,+1928-01-11T00:00:00Z/11,Q51850225,"""11000668""",+2018-04-13T00:00:00Z/11,+1994-10-30T00:00:00Z/11,Q51850225,"""11000668""",+2018-04-13T00:00:00Z/11
Q66447,+1906-08-25T00:00:00Z/11,Q51850225,"""11000669""",+2018-04-13T00:00:00Z/11,+1986-03-13T00:00:00Z/11,Q51850225,"""11000669""",+2018-04-13T00:00:00Z/11
Q1459249,+1923-05-16T00:00:00Z/11,Q51850225,"""11000672""",+2018-04-13T00:00:00Z/11,+2014-08-21T00:00:00Z/11,Q51850225,"""11000672""",+2018-04-13T00:00:00Z/11
Q1579815,+1921-01-22T00:00:00Z/11,Q51850225,"""11000673""",+2018-04-13T00:00:00Z/11,+1998-09-07T00:00:00Z/11,Q51850225,"""11000673""",+2018-04-13T00:00:00Z/11
Q1889386,+1931-11-30T00:00:00Z/11,Q51850225,"""11000674""",+2018-04-13T00:00:00Z/11,+2016-10-31T00:00:00Z/11,Q51850225,"""11000674""",+2018-04-13T00:00:00Z/11
Q1597338,+1926-05-21T00:00:00Z/11,Q51850225,"""11000675""",+2018-04-13T00:00:00Z/11,+2013-08-11T00:00:00Z/11,Q51850225,"""11000675""",+2018-04-13T00:00:00Z/11
Q2059783,+1898-11-26T00:00:00Z/11,Q51850225,"""11000676""",+2018-04-13T00:00:00Z/11,+1967-12-30T00:00:00Z/11,Q51850225,"""11000676""",+2018-04-13T00:00:00Z/11
Q1629374,+1940-08-23T00:00:00Z/11,Q51850225,"""11000677""",+2018-04-13T00:00:00Z/11,+2006-04-02T00:00:00Z/11,Q51850225,"""11000677""",+2018-04-13T00:00:00Z/11
Q1079840,+1896-06-09T00:00:00Z/11,Q51850225,"""11000678""",+2018-04-13T00:00:00Z/11,+1967-05-19T00:00:00Z/11,Q51850225,"""11000678""",+2018-04-13T00:00:00Z/11
Q1731529,+1920-09-04T00:00:00Z/11,Q51850225,"""11000679""",+2018-04-13T00:00:00Z/11,+2002-04-19T00:00:00Z/11,Q51850225,"""11000679""",+2018-04-13T00:00:00Z/11
Q99185,+1901-09-15T00:00:00Z/11,Q51850225,"""11000681""",+2018-04-13T00:00:00Z/11,+1971-02-18T00:00:00Z/11,Q51850225,"""11000681""",+2018-04-13T00:00:00Z/11
Q1455164,+1918-02-12T00:00:00Z/11,Q51850225,"""11000684""",+2018-04-13T00:00:00Z/11,+1995-08-05T00:00:00Z/11,Q51850225,"""11000684""",+2018-04-13T00:00:00Z/11
Q1466388,+1899-03-05T00:00:00Z/11,Q51850225,"""11000685""",+2018-04-13T00:00:00Z/11,+1977-09-29T00:00:00Z/11,Q51850225,"""11000685""",+2018-04-13T00:00:00Z/11
Q1597355,+1893-04-04T00:00:00Z/11,Q51850225,"""11000686""",+2018-04-13T00:00:00Z/11,+1974-01-02T00:00:00Z/11,Q51850225,"""11000686""",+2018-04-13T00:00:00Z/11
Q2645038,+1908-06-19T00:00:00Z/11,Q51850225,"""11000688""",+2018-04-13T00:00:00Z/11,+1991-02-15T00:00:00Z/11,Q51850225,"""11000688""",+2018-04-13T00:00:00Z/11
Q1446945,+1911-02-22T00:00:00Z/11,Q51850225,"""11000689""",+2018-04-13T00:00:00Z/11,+1992-12-28T00:00:00Z/11,Q51850225,"""11000689""",+2018-04-13T00:00:00Z/11
Q1245727,+1924-01-23T00:00:00Z/11,Q51850225,"""11000690""",+2018-04-13T00:00:00Z/11,+2004-10-31T00:00:00Z/11,Q51850225,"""11000690""",+2018-04-13T00:00:00Z/11
Q647924,+1939-03-06T00:00:00Z/11,Q51850225,"""11000692""",+2018-04-13T00:00:00Z/11,+2005-08-25T00:00:00Z/11,Q51850225,"""11000692""",+2018-04-13T00:00:00Z/11
